,word,n,WORK,COMMUNITY,FAMILY,WORK2,COMMUNITY2
1,mines,342,Y,,,Y,
2,coal,319,Y,,,Y,
3,people,278,,Y,,Y,
4,father,237,,Y,,Y,
5,time,237,Y,,,Y,
6,company,193,Y,,,Y,
7,home,161,,Y,,Y,
8,remember,144,,,,Y,
9,job,140,Y,,,Y,
10,started,138,,,,,
11,church,132,,Y,Y,,Y
12,days,121,,Y,Y,,
13,lot,118,,Y,Y,,
14,money,103,,Y,Y,,
15,mother,103,,Y,Y,,Y
16,day,101,,Y,Y,,
17,school,98,,Y,Y,,Y
18,mine,92,Y,,,Y,
19,family,91,,Y,Y,,Y
20,lived,91,,Y,Y,,
21,polish,91,,Y,Y,,Y
22,house,89,,Y,Y,,Y
23,mining,79,Y,,,Y,
24,breaker,78,Y,,,Y,
25,born,76,,Y,Y,,
26,miner,75,Y,,,Y,
27,pay,72,,Y,Y,Y,
28,scranton,70,,Y,Y,,
29,married,69,,Y,Y,,Y
30,miners,69,Y,,,Y,
31,union,69,Y,,,Y,
32,business,68,Y,,,,Y
33,children,66,,Y,Y,,Y
34,hard,62,,Y,Y,,
35,irish,62,,Y,Y,,Y
36,paid,62,,Y,Y,Y,
37,times,58,,Y,,,
38,live,57,,Y,,,Y
39,brother,55,,Y,,,Y
40,neighborhood,55,,Y,,,Y
41,couldnt,54,,Y,,,
42,street,54,,Y,,,Y
43,left,53,,Y,,,
44,store,52,,Y,,,Y
45,cars,51,,,,Y,
46,rock,51,,,,Y,
47,car,50,,,,Y,
48,care,50,,,,,
49,strike,50,Y,,,Y,
50,country,47,,Y,,,
51,english,47,,Y,,,